TYPE,RATIO,year
new,0.287352,2020 
new,0.337315,2020 
new,0.355342,2020 
new,0.329670,2020 
new,0.266458,2020 
transfer,0.147835,2020 
transfer,0.250000,2020 
new,0.055304,2020 
transfer,0.339312,2020 
transfer,0.141067,2020 
new,0.328116,2020 
new,0.257732,2020 
new,0.185984,2020 
new,0.547101,2020 
new,0.302083,2020 
new,0.212157,2020 
transfer,0.176686,2020 
new,0.336700,2020 
transfer,0.246793,2020 
transfer,0.148348,2020 
new,0.408692,2020 
new,0.277075,2020 
new,0.281075,2020 
new,0.171934,2020 
transfer,0.237106,2020 
new,0.193387,2020 
new,0.304618,2020 
new,0.182402,2020 
new,0.279697,2020 
new,0.144470,2020 
new,0.134868,2020 
new,0.208829,2020 
new,0.453313,2020 
new,0.182049,2020 
new,0.194100,2020 
new,0.331877,2020 
new,0.137576,2020 
new,0.176097,2020 
new,0.100211,2020 
transfer,0.176687,2020 
new,0.132507,2020 
new,0.210271,2020 
new,0.273966,2020 
new,0.151370,2020 
new,0.206452,2020 
new,0.372336,2020 
new,0.204826,2020 
new,0.300816,2020 
new,0.222222,2020 
new,0.154658,2020 
new,0.227273,2020 
new,0.246914,2020 
new,0.251982,2020 
new,0.365586,2020 
new,0.344097,2020 
new,0.176854,2020 
new,0.444667,2020 
new,0.149748,2020 
new,0.114100,2020 
new,0.265000,2020 
new,0.176516,2020 
new,0.193921,2020 
new,0.251955,2020 
new,0.250000,2020 
new,0.225989,2020 
new,0.149427,2020 
transfer,0.095539,2020 
transfer,0.318346,2020 
new,0.152912,2020 
new,0.302817,2020 
new,0.180206,2020 
new,0.095896,2020 
new,0.186353,2020 
new,0.234568,2020 
transfer,0.182056,2020 
new,0.062180,2020 
transfer,0.055467,2020 
new,0.121426,2020 
new,0.080492,2020 
new,0.185692,2020 
new,0.158690,2020 
new,0.131125,2020 
new,0.181323,2021
transfer,0.189034,2021
new,0.277778,2021
new,0.379477,2021
new,0.162567,2021
new,0.112188,2021
new,0.250023,2021
new,0.165964,2021
new,0.166666,2021
new,0.261609,2021
transfer,0.284197,2021
new,0.437520,2021
transfer,0.146698,2021
transfer,0.240552,2021
transfer,0.176594,2021
transfer,0.140967,2021
transfer,0.114390,2021
new,0.111558,2021
transfer,0.172199,2021
new,0.256526,2021
new,0.300000,2021
new,0.196251,2021
transfer,0.336910,2021
new,0.176432,2021
new,0.204082,2021
transfer,0.214214,2021
new,0.125654,2021
new,0.176477,2021
new,0.206145,2021
new,0.175308,2021
new,0.203391,2021
new,0.243420,2021
new,0.250000,2021
new,0.178917,2021
new,0.250000,2021
new,0.336304,2021
new,0.204574,2021
new,0.069558,2021
new,0.174420,2021
new,0.258085,2021
new,0.263761,2021
new,0.207502,2021
new,0.200502,2021
new,0.274162,2021
new,0.114326,2021
new,0.242424,2021
new,0.176471,2021
new,0.372340,2021
new,0.296000,2021
new,0.210757,2021
new,0.277078,2021
new,0.340250,2021
new,0.235294,2021
new,0.312500,2021
new,0.251921,2021
new,0.252911,2021
new,0.176231,2021
new,0.250056,2021
new,0.266688,2021
new,0.188524,2021
new,0.280561,2021
new,0.416483,2021
new,0.469136,2021
new,0.291262,2021
new,0.375000,2021
new,0.177051,2021
new,0.183602,2021
new,0.133271,2021
new,0.202105,2021
new,0.333077,2021
new,0.111483,2021
new,0.465517,2021
new,0.250137,2021
new,0.251202,2021
new,0.225497,2021
new,0.134053,2021
new,0.154154,2021
new,0.204947,2021
new,0.207687,2021
transfer,0.270357,2021
new,0.186778,2021
new,0.148877,2021
new,0.285438,2021
new,0.239684,2021
new,0.200938,2021
transfer,0.154704,2021
new,0.184440,2021
new,0.063781,2021
new,0.092586,2021
transfer,0.121070,2021
transfer,0.052727,2022
transfer,0.164141,2022
new,0.211042,2022
new,0.279667,2022
new,0.297886,2022
new,0.314075,2022
new,0.223237,2022
new,0.359876,2022
new,0.255286,2022
transfer,0.146382,2022
new,0.291649,2022
new,0.115254,2022
transfer,0.176783,2022
new,0.353594,2022
transfer,0.195773,2022
new,0.175778,2022
new,0.227663,2022
new,0.175397,2022
new,0.253242,2022
new,0.282631,2022
new,0.114902,2022
new,0.182151,2022
new,0.131144,2022
new,0.268972,2022
new,0.180496,2022
new,0.290322,2022
new,0.336077,2022
new,0.331035,2022
new,0.299205,2022
new,0.167847,2022
new,0.444709,2022
new,0.256503,2022
new,0.284430,2022
new,0.253245,2022
new,0.166293,2022
new,0.317460,2022
new,0.151385,2022
new,0.333333,2022
new,0.538462,2022
new,0.141581,2022
new,0.323636,2022
new,0.287282,2022
new,0.302742,2022
new,0.337713,2022
new,0.206849,2022
new,0.166667,2022
new,0.145778,2022
new,0.383755,2022
new,0.269973,2022
new,0.191562,2022
new,0.176783,2022
new,0.304487,2022
new,0.141179,2022
new,0.212127,2022
new,0.270000,2022
new,0.179536,2022
new,0.111504,2022
new,0.333353,2022
new,0.236066,2022
new,0.265349,2022
new,0.332689,2022
new,0.186334,2022
new,0.251263,2022
new,0.242785,2022
new,0.195834,2022
new,0.300000,2022
new,0.094598,2022
new,0.185520,2022
new,0.264746,2022
new,0.280179,2022
new,0.088203,2022
new,0.253836,2022
new,0.285445,2022
new,0.255069,2022
new,0.227764,2022
new,0.169839,2022
transfer,0.068897,2022
new,0.044797,2022
new,0.037352,2022
new,0.145503,2022
new,0.176486,2022
new,0.196554,2022
new,0.249168,2022
new,0.264735,2023
new,0.119006,2023
new,0.432157,2023
new,0.157485,2023
transfer,0.176479,2023
transfer,0.111732,2023
transfer,0.204858,2023
new,0.198560,2023
transfer,0.112153,2023
new,0.335508,2023
new,0.130571,2023
new,0.333333,2023
new,0.333908,2023
transfer,0.142517,2023
new,0.073387,2023
new,0.230902,2023
new,0.177912,2023
new,0.112968,2023
new,0.178113,2023
transfer,0.279570,2023
new,0.150396,2023
new,0.335148,2023
new,0.202168,2023
new,0.139017,2023
new,0.099979,2023
new,0.299145,2023
new,0.133726,2023
new,0.337517,2023
new,0.375000,2023
new,0.121984,2023
new,0.177487,2023
transfer,0.200409,2023
new,0.333333,2023
new,0.252512,2023
new,0.280842,2023
new,0.142818,2023
new,0.326321,2023
new,0.231452,2023
new,0.308333,2023
new,0.200973,2023
new,0.285661,2023
new,0.120285,2023
new,0.248396,2023
new,0.296748,2023
new,0.251890,2023
new,0.204032,2023
new,0.228418,2023
new,0.146739,2023
new,0.294118,2023
new,0.209171,2023
new,0.176896,2023
new,0.204545,2023
new,0.204010,2023
new,0.251449,2023
new,0.384352,2023
new,0.235454,2023
new,0.241076,2023
new,0.201031,2023
new,0.205574,2023
new,0.215924,2023
new,0.139682,2023
new,0.152039,2023
new,0.149626,2023
new,0.196328,2023
new,0.333333,2023
new,0.300028,2023
new,0.213123,2023
new,0.337334,2023
new,0.267594,2023
new,0.246804,2023
new,0.277181,2023
new,0.252913,2023
new,0.166940,2023
new,0.336634,2023
new,0.136381,2023
new,0.294505,2023
new,0.142584,2023
new,0.136623,2023
new,0.351495,2023
new,0.281794,2023
new,0.097907,2023
new,0.205772,2023
new,0.048986,2023
new,0.235447,2023
new,0.140856,2023
new,0.259559,2023
new,0.076761,2023
new,0.053714,2023
new,0.139411,2023
new,0.223209,2023
new,0.359240,2023
