Date,Flight Number,Destination,Delay
2006-01-15,73,È£³î·ê·ç,257
2006-01-15,217,EWR,28
2006-01-15,237,STL,-3
2006-01-15,250,SAN,0
2006-01-15,267,PHL,64
2006-01-15,273,SEA,-6
2006-01-15,278,SEA,-8
2006-01-15,292,EWR,12
2006-01-15,300,HNL,20
2006-01-15,317,IND,-10
2006-01-15,318,DEN,29
2006-01-15,322,SEA,3
2006-01-15,331,DEN,-7
2006-01-15,355,IAD,0
2006-01-15,358,LAS,-1
2006-01-15,388,ORD,-9
2006-01-15,392,LAS,-9
2006-01-15,408,IAD,14
2006-01-15,433,LAX,10
2006-01-15,434,LAS,-3
2006-01-15,464,PDX,-3
2006-01-15,468,IAH,23
2006-01-15,477,ORD,10
2006-01-15,478,LAX,0
2006-01-15,480,PIT,5
2006-01-15,500,MSP,28
2006-01-15,502,JFK,-4
2006-01-15,522,PDX,36
2006-01-15,525,LAX,-4
2006-01-15,560,SEA,1
2006-01-15,577,EWR,-9
2006-01-15,595,PDX,-4
2006-01-15,624,ORD,10
2006-01-15,637,JFK,141
2006-01-15,650,AUS,44
2006-01-15,663,HNL,4
2006-01-15,671,DEN,74
2006-01-15,680,ORD,-3
2006-01-15,698,ORD,4
2006-01-15,704,JFK,-8
2006-01-15,705,ORD,-1
2006-01-15,714,LAS,-5
2006-01-15,715,PHX,-1
2006-01-15,718,SAN,7
2006-01-15,720,DEN,127
2006-01-15,721,DFW,0
2006-01-15,728,ORD,-2
2006-01-15,740,LAS,-4
2006-01-15,753,LAS,-7
2006-01-15,756,DEN,-3
2006-01-15,758,JFK,-5
2006-01-15,760,JFK,352
2006-01-15,768,BOS,-9
2006-01-15,769,LAX,55
2006-01-15,794,LIH,17
2006-01-15,814,LAX,-3
2006-01-15,824,JFK,3
2006-01-15,898,JFK,290
2006-01-15,995,ORD,24
2006-01-15,1002,LAX,38
2006-01-15,1029,LAS,16
2006-01-15,1038,IAH,103
2006-01-15,1057,DEN,0
2006-01-15,1065,EWR,0
2006-01-15,1074,ORD,-2
2006-01-15,1076,IAD,3
2006-01-15,1083,LAX,98
2006-01-15,1106,MCO,2
2006-01-15,1118,EWR,34
2006-01-15,1120,IAH,125
2006-01-15,1124,LAS,-1
2006-01-15,1130,LAX,189
2006-01-15,1131,EWR,122
2006-01-15,1132,DFW,10
2006-01-15,1135,RDU,38
2006-01-15,1138,MSY,10
2006-01-15,1149,EWR,15
2006-01-15,1156,EWR,10
2006-01-15,1167,SEA,101
2006-01-15,1171,DEN,17
2006-01-15,1185,EWR,97
2006-01-15,1192,LAX,-4
2006-01-15,1195,IAH,11
2006-01-15,1197,IAH,43
2006-01-15,1199,MCO,96
2006-01-15,1204,SEA,4
2006-01-15,1226,SNA,-1
2006-01-15,1247,BOS,-3
2006-01-15,1250,IAH,-3
2006-01-15,1257,ANC,52
2006-01-15,1263,ORD,148
2006-01-15,1266,EWR,0
2006-01-15,1267,SAN,-1
2006-01-15,1268,IAD,0
2006-01-15,1273,OGG,3
2006-01-15,1291,BOS,-2
2006-01-15,1402,SAN,52
2006-01-15,1405,LAS,-1
