index,spac,value,funding
1,0,45034000000,9000000000
2,0,81110458000,20431400000
3,0,119696980000,20150000000
4,0,75863403100,10387900000
5,0,126666171000,14400000000
6,0,128007397000,27600000000
7,0,170739104000,32000000000
8,0,143384967000,16031000000
9,0,271257779000,39000000000
10,0,163281165000,22350000000
11,0,273131280000,78000000000
12,0,176192352000,28800000000
13,0,161560185000,28665000000
14,0,73942841000,21000000000
15,0,135120037500,23972040000
16,0,202363914000,29000000000
17,0,93688851000,21700000000
18,0,136943808000,22400000000
19,0,126646000000,22340000000
20,0,111787280000,29700000000
21,0,91636720000,16180000000
22,0,95547344000,28960000000
23,0,347378580000,57589000000
24,0,170034768000,43200000000
25,0,177895110000,23000000000
26,0,213543390000,48000000000
27,0,186232960000,22100000000
28,0,117020720000,20768000000
29,0,222089920000,39400000000
30,0,306864657000,36300000000
31,0,148429125000,32500000000
32,0,247339520000,32000000000
33,0,256075680000,60000000000
34,0,117458005500,28404000000
35,0,80703520000,9600000000
36,0,168235540000,22600000000
37,0,62367298000,7000000000
38,0,119503332000,13500000000
39,0,84162240000,11700000000
40,0,110410648000,27880000000
41,0,239294720000,32000000000
42,0,277645050000,46350000000
43,0,101988675000,27000000000
44,0,152215280000,30600000000
45,0,87460954000,22120000000
46,0,78451428000,16006620000
47,0,100397920000,17760000000
48,0,85396584000,18200000000
49,0,1294892289000,193750000000
50,0,89481250000,22500000000
51,0,160677468000,19600000000
52,0,142272000000,30720000000
53,0,114672186000,27000000000
54,0,98644095000,17550000000
55,0,103392390000,13500000000
56,0,84042900000,16500000000
57,0,50520217500,7200000000
58,0,93087644000,14000000000
59,0,126324495000,22500000000
60,0,95342730000,19600000000
61,0,183955968000,13500000000
62,0,75777795000,15500000000
63,0,260054600000,26000000000
64,0,115276260000,20460000000
65,0,354371550000,52000000000
66,0,126000000000,38850000000
67,0,55449720000,13967208000
68,0,247047192000,50400000000
69,0,121531810000,23800000000
70,0,85609776000,12480000000
71,0,83577850000,21000000000
72,0,140446098000,25350000000
73,0,111179670000,12397000000
74,0,70288595500,17800000000
75,0,97011855000,13735000000
76,0,58162076000,22320000000
77,0,128510976000,6776000000
78,0,156411696000,40120000000
79,0,146877520000,20736000000
80,0,278122200000,36474000000
81,0,149856145200,44640000000
82,0,111111100000,30000000000
83,0,191195121000,33800000000
84,0,452557960000,52000000000
85,0,108444352000,25600000000
86,0,54651450000,8000000000
87,0,91221440000,16000000000
88,0,99085300000,15000000000
89,0,274215417600,45600000000
90,0,94769700000,24000000000
91,0,207079600000,36400000000
92,0,127125960000,28941900000
93,0,130680000000,43560000000
94,0,53851308000,9520000000
95,0,477169910000,70000000000
96,0,162659700000,18133770000
97,0,46000000000,15470000000
98,0,90429086000,22781000000
99,0,177386300000,40000000000
100,0,246270783000,43450000000
101,0,219486507000,38760000000
102,0,397669984000,99417496000
103,0,181142682000,12600000000
104,0,139160000000,25550000000
105,0,112552365000,15000000000
106,0,282899200000,53333325000
107,0,125567241800,34791928600
108,0,110304758000,34470239200
109,0,78678090000,9000000000
110,0,106866600000,28500000000
111,0,48609088000,12155000000
112,0,260000000000,78000000000
113,0,46800000000,13000000000
114,0,87845615000,15400000000
115,0,69747840000,17640000000
116,0,109336462500,12500000000
117,0,620440050000,112500000000
118,0,439223748000,91140000000
119,0,62371740000,16000000000
120,0,188526450000,37800000000
121,0,80049970000,22750000000
122,0,71916768000,12384000000
123,0,128550000000,26500000000
124,0,91732512000,16000000000
125,0,141701772000,15808000000
126,0,452779080000,80000000000
127,0,44250000000,10000000000
128,0,121235575000,18750000000
129,0,113087940000,20000000000
130,0,135801876000,34216000000
131,0,328499262000,43528500000
132,0,155313721100,27415289700
133,0,200336490000,30000000000
134,0,83164692000,20956000000
135,0,132290760000,18200000000
136,0,212240640000,37500000000
137,0,99789400000,10000000000
138,0,211463824000,24128000000
139,0,195248550000,29554800000
140,0,178178150000,32500000000
141,0,184120944000,26600000000
142,0,128889660000,26400000000
143,0,45382176000,11200000000
144,0,106475375000,18750000000
145,0,136963871000,46200000000
146,0,122414880200,18160000000
147,0,168087058000,30600000000
148,0,218880000000,29520000000
149,0,51956496000,10850000000
150,1,59713364875,14820000000
151,1,48739200000,11280000000
152,1,44604125000,9070000000
153,1,114251236017,8608000000
154,1,43471515543,12250000000
155,1,123499841213,9100000000
156,1,76815788014,10820000000
157,1,120090979250,16742000000
158,1,162852939080,11220000000
159,1,246308014231,9200000000
160,1,188826805613,10802000000
